1035 5 598 2
793562590 983439584 400566311 890595898 482014674 
438315125 567322266 617569809 607256864 131800289 
427478483 577684926 540216039 433231539 931018070 
79689734 59180251 919586007 325729155 2470821 
903437413 658738973 897743512 242386789 135338745 
82173732 576050295 88026553 154679505 744462285 
9132020 457183882 484525794 921450337 173557109 
699947666 751964297 579613983 413784548 534149700 
484209147 577694893 695744583 428591655 690174850 
98611223 670424976 193774674 279097967 72023000 
248881975 199690602 179498400 256105544 254128166 
318459943 390128611 597814906 737167749 430169438 
167421162 302664534 887452279 773005789 818573788 
923223065 431820590 543099170 595008067 475735078 
480218518 945539297 714655299 68698453 193222935 
554487549 388138672 219005838 601242025 122404034 
570569901 559491517 201780040 775410159 904762361 
612297762 15271974 841768067 44231127 608082915 
875151005 184422397 132366247 443034206 725988899 
312948389 919193463 132386549 713286190 867478587 
804851438 239389474 394108159 489702995 864197665 
796937640 505939601 192026860 715148695 791764512 
412407820 899831345 135287705 132120513 289244732 
531358107 592153635 323986826 651942676 186722974 
40785491 550793066 429022007 354814013 248842892 
708152705 477293010 949945741 197608921 104011121 
389718819 247957684 646610800 375828848 406106772 
639090731 560739053 668758879 502351147 899780349 
247643360 946244870 274337940 513210231 666883676 
926453699 454821499 301771949 637944194 948164475 
34324866 11955432 948005751 53778876 30915388 
216843182 22228027 275559459 402166146 457210552 
689902241 10336613 518092388 570286546 123740704 
534804477 32437772 46285580 207122092 388881256 
431739921 95928553 449838021 40118484 921954799 
229134467 410418516 82144163 792473411 89478049 
189077060 710092135 9556717 830882047 527133493 
49428270 790063501 333053670 571994169 896898535 
261501155 962509496 312893340 905933429 815343960 
343928525 459607149 929129938 564688413 41370110 
794328642 634378320 558257415 506814125 653066581 
949600067 629611874 201470449 652237109 944157870 
243532091 126734216 78499631 411276621 674399187 
647020575 471375168 888681643 984613750 542494043 
245556176 892003791 869253179 969033862 272774322 
367535932 276626340 536923166 830436579 944427025 
342257841 406747789 854705917 802804090 694835906 
948258961 549724477 443392489 573813638 60732269 
721932555 516268821 795833496 549113321 249579736 
924243268 902912513 732552087 519235182 63911900 
861161085 977272433 176391346 678695599 260595565 
976677540 706328667 912247083 641106831 746520833 
408407388 97577501 419482074 803419982 211111909 
936099518 186516373 423828780 304417045 928134313 
59138830 656337343 671392567 345545399 815406145 
570800228 174587316 317850952 60610761 610785639 
367857119 44834984 640952812 833044993 789928061 
344477584 292755388 688757417 579982554 232556720 
450144617 882473099 962288960 189406066 159713858 
739780906 293098659 291948589 298480927 484035709 
287396589 941924702 629380820 231693286 620032551 
446475377 179348128 190449855 550141861 234119637 
945601216 622754185 763022395 647137912 64481916 
75415933 164981443 982095822 816670549 198837708 
848923691 151597059 529646565 364633818 93282006 
785666158 817372845 278913375 177350529 973517918 
560807272 960484444 293465553 803946375 327994044 
276311887 912091875 347438634 685192113 676713732 
962471828 632727855 677096279 419433154 432727454 
54068886 606383821 427594732 412543839 522449183 
432071102 562336099 662718573 99840889 996032177 
792974372 196103755 509624932 431769583 509133993 
429990238 215787482 531874127 689944840 114683170 
119628925 840415975 333883018 909497760 326253520 
465249308 842355913 145905731 273232637 193185800 
216362867 812195169 395418607 295599606 799069920 
411110212 210707144 84507926 760438324 309320594 
977398535 61935643 171040603 661444928 183714726 
496511815 11708393 143886759 864171406 714399736 
298771338 658406636 437087223 249911957 510412383 
799912494 345436264 86557671 14019852 67199691 
876928076 189765483 964633010 515840053 366436627 
